"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"160","a_psu[142]",0.4555246620955,0.471819,0.851477307505435,0.8503645038,-0.96474445,1.8485145,1.00237884966522,4920.92866594214,1410.62784536187
"161","a_psu[143]",-0.0996538381555,-0.1052545,0.928128571244412,0.9534467166,-1.573718,1.390798,1.00109299110394,3512.13719886663,1464.55024660388
"162","a_psu[144]",-0.040205220295,-0.0278437,0.952182053158704,0.932985354,-1.6212175,1.51078,1.00111380946959,4195.08779189442,1330.32545204883
"163","a_psu[145]",-0.164321594919,-0.1522345,1.01163602999605,1.0292750349,-1.8485585,1.513389,1.00174861529435,3730.99113450816,1254.63188632523
"164","a_psu[146]",0.359140881826,0.3803375,0.808229264893298,0.7609162806,-0.99379375,1.6366865,1.00729225270078,4255.52402837185,1467.46814980832
"165","a_psu[147]",0.505262819,0.5015755,0.97322621183219,0.915223806,-1.1545105,2.106991,1.00470907516847,3745.4027204545,1189.93385756683
"166","a_psu[148]",-0.0476443687116,-0.05961235,0.937758094024346,0.95479462239,-1.554566,1.503126,1.00008273745036,5113.36118884933,1303.55086810034
"167","a_psu[149]",0.13073214592,0.1364195,0.979259715181098,0.9406229679,-1.4718075,1.753755,1.0030851855525,4702.55372721787,1069.3988581697
"168","a_psu[150]",-0.0134203501495,-0.01374485,0.931075073953051,0.9494370249,-1.519343,1.488186,0.999559545082842,3059.5779460536,1217.45515103686
"169","a_psu[151]",0.02029744774,0.0119904,0.990638771380697,0.9781149567,-1.5855845,1.6881005,1.00348262805325,4032.62373892675,1496.04159192954
"170","a_psu[152]",-0.12111129315,-0.1122445,0.966425166907662,0.9414621195,-1.6954365,1.479994,1.00010618164605,3181.39620237449,1194.23771514314
"171","a_psu[153]",0.00828944922,0.0271975,1.00024466261852,0.9952286085,-1.6222875,1.5944475,1.00203981629243,2983.40588286043,1365.89772406485
"172","a_psu[154]",-0.4024231374955,-0.4021305,0.95257878789424,0.9316843725,-1.9826775,1.1612205,1.00370881229169,3117.42245053962,1315.84867653648
"173","a_psu[155]",0.288142028177,0.3045215,0.955558226336888,0.9218169282,-1.3328185,1.8098055,1.00073337038032,5162.59033753639,1455.90082191311
"174","a_psu[156]",0.0470191932085,0.05284715,0.9482027041515,0.90672902691,-1.514414,1.5961535,1.00007577365852,4214.12074818887,1514.64207968742
"175","a_psu[157]",0.003946417745,0.0237234,0.915597450676399,0.9333167151,-1.536065,1.497465,1.00190482330574,3232.34295034901,1778.52770307566
"176","a_psu[158]",0.5690776546195,0.5722885,0.867448723155647,0.80109133062,-0.9146564,2.0300475,1.0000369768793,3150.36166550873,1530.22150099672
"177","a_psu[159]",-0.155671026608,-0.127299,0.959005700106085,0.9927771294,-1.701516,1.3708505,1.00333208283232,4670.45700929712,1374.77200579037
"178","a_psu[160]",0.078673055455,0.08943945,1.00002012512915,1.01250986823,-1.565473,1.681291,1.00034745693854,4666.78366893522,1520.86479212647
"179","a_psu[161]",0.90379592623265,0.9093995,0.925349043588802,0.8972976894,-0.6460858,2.4045225,0.999129820690498,5589.29426482051,1614.56474396656
"180","a_psu[162]",-0.314037017505,-0.3234985,0.928539867093296,0.9478424886,-1.8143725,1.1816755,1.00153135048015,3915.23063863928,1196.44497301242
